"","Group","Time"
"1","VisualVisual",11.6
"2","VisualVisual",22.71
"3","VisualVisual",20.96
"4","VisualVisual",13.96
"5","VisualVisual",14.6
"6","VisualVisual",10.98
"7","VisualVisual",21.08
"8","VisualVisual",15.85
"9","VisualVisual",15.68
"10","VisualVisual",16.1
"11","VisualVisual",11.87
"12","VisualVisual",17.49
"13","VisualVisual",24.4
"14","VisualVisual",23.35
"15","VisualVisual",11.24
"16","VisualVisual",20.24
"17","VisualVisual",15.52
"18","VisualVisual",13.7
"19","VisualVisual",28.15
"20","VisualVisual",33.98
"21","VisualVerbal",13.06
"22","VisualVerbal",6.27
"23","VisualVerbal",7.77
"24","VisualVerbal",6.48
"25","VisualVerbal",6.01
"26","VisualVerbal",7.6
"27","VisualVerbal",18.77
"28","VisualVerbal",10.29
"29","VisualVerbal",9.18
"30","VisualVerbal",5.88
"31","VisualVerbal",6.91
"32","VisualVerbal",5.66
"33","VisualVerbal",6.68
"34","VisualVerbal",11.97
"35","VisualVerbal",7.5
"36","VisualVerbal",11.61
"37","VisualVerbal",10.9
"38","VisualVerbal",5.74
"39","VisualVerbal",9.32
"40","VisualVerbal",12.64
"41","VerbalVisual",16.05
"42","VerbalVisual",13.16
"43","VerbalVisual",15.87
"44","VerbalVisual",12.49
"45","VerbalVisual",14.69
"46","VerbalVisual",8.64
"47","VerbalVisual",17.24
"48","VerbalVisual",11.69
"49","VerbalVisual",17.23
"50","VerbalVisual",8.77
"51","VerbalVisual",8.44
"52","VerbalVisual",9.05
"53","VerbalVisual",18.45
"54","VerbalVisual",24.38
"55","VerbalVisual",14.49
"56","VerbalVisual",12.19
"57","VerbalVisual",10.5
"58","VerbalVisual",11.11
"59","VerbalVisual",13.85
"60","VerbalVisual",15.48
"61","VerbalVerbal",11.51
"62","VerbalVerbal",23.86
"63","VerbalVerbal",9.51
"64","VerbalVerbal",13.2
"65","VerbalVerbal",12.31
"66","VerbalVerbal",12.26
"67","VerbalVerbal",12.68
"68","VerbalVerbal",11.37
"69","VerbalVerbal",18.28
"70","VerbalVerbal",8.33
"71","VerbalVerbal",10.6
"72","VerbalVerbal",8.24
"73","VerbalVerbal",8.53
"74","VerbalVerbal",15.85
"75","VerbalVerbal",10.91
"76","VerbalVerbal",11.13
"77","VerbalVerbal",10.9
"78","VerbalVerbal",9.33
"79","VerbalVerbal",10.01
"80","VerbalVerbal",28.18
