"","V201231x","V201507x","V201600","V201549x","V202468x","V202543","V202557","V202576","V201200","V202452"
"1",7,46,1,3,21,4,1,-1,6,1
"2",4,37,2,4,13,5,1,-1,4,3
"3",3,40,2,1,17,4,2,-1,2,1
"4",6,41,1,4,7,5,1,-1,3,5
"5",4,72,1,5,22,-1,1,-1,5,1
"6",3,71,2,1,3,-1,2,-1,4,3
"7",6,37,2,1,4,3,1,-1,4,3
"8",6,45,2,1,3,4,2,-1,99,5
"9",4,70,2,1,10,5,2,-1,99,3
"10",2,43,1,3,11,4,2,-1,99,3
"11",1,37,2,3,9,4,1,-1,99,1
"12",2,55,1,1,18,5,1,-1,4,3
"13",7,30,2,1,1,5,1,-1,6,4
"14",2,38,1,4,21,5,2,-1,3,2
"15",3,41,2,2,3,5,2,-1,4,3
"16",5,66,1,3,7,3,1,-1,6,3
"17",3,54,1,1,22,5,1,-1,3,4
"18",1,55,1,1,20,5,2,-1,3,1
"19",1,62,2,1,10,-1,2,-1,2,4
"20",2,80,2,1,5,-1,2,-1,3,2
"21",7,31,1,3,12,5,1,-1,6,3
"22",1,80,2,3,6,-1,1,-1,4,1
"23",3,24,1,1,21,-1,2,-1,2,3
"24",7,55,1,1,15,-1,2,-1,6,3
"25",2,59,2,3,6,4,1,-1,99,4
"26",1,73,1,1,5,-1,2,-1,2,3
"27",5,72,2,1,5,5,2,-1,99,2
"28",5,50,1,1,20,-1,1,-1,5,3
"29",6,66,1,1,22,-1,2,-1,5,4
"30",1,41,1,3,15,5,2,-1,4,3
"31",4,52,2,4,1,-1,2,-1,99,3
"32",4,45,1,5,13,-1,2,-1,4,5
"33",1,46,2,1,4,5,2,-1,2,4
"34",7,66,1,1,20,4,1,-1,6,3
"35",2,60,2,1,20,4,2,-1,2,3
"36",7,73,2,1,10,5,2,-1,99,2
"37",1,71,2,2,9,5,2,-1,99,3
"38",3,28,2,1,3,5,2,-1,1,3
"39",1,73,2,1,8,4,2,-1,1,1
"40",7,-9,1,1,-9,-1,1,-1,6,3
"41",7,37,2,1,19,5,1,-1,6,3
"42",1,56,2,2,4,4,2,-1,4,3
"43",7,48,1,1,10,5,1,-1,7,5
