"","B1PAGE_M2","B1PRSEX","B1PD1","B1PD2","B1PD14","B1PD15","B1SNEGFW","TROUBLE","B1SQ1"
"1",61,"(1) Male","(2) No",NA,NA,NA,8,NA,8
"2",69,"(1) Male","(2) No",NA,NA,NA,6,"Never",9
"3",80,"(2) Female","(2) No",NA,NA,NA,NA,NA,10
"4",60,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"5",55,"(1) Male","(2) No",NA,NA,NA,7,"Once or a few times",8
"6",52,"(2) Female","(1) Yes","(13) Other (specify)",48,5,NA,"Most or all of the time",8
"7",57,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"8",53,"(2) Female","(2) No",NA,NA,NA,9,"Never",7
"9",46,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"10",49,"(1) Male","(2) No",NA,NA,NA,8,"Never",8
"11",51,"(1) Male","(2) No",NA,NA,NA,9,"Once or a few times",8
"12",56,"(2) Female","(1) Yes","(03) Son",52,56,NA,NA,NA
"13",78,"(2) Female","(2) No",NA,NA,NA,NA,NA,8
"14",51,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"15",47,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"16",63,"(2) Female","(2) No",NA,NA,NA,10,"Never",9
"17",56,"(2) Female","(2) No",NA,NA,NA,NA,"Never",10
"18",42,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"19",76,"(2) Female","(2) No",NA,NA,NA,12,"Never",8
"20",54,"(1) Male","(2) No",NA,NA,NA,4,"Never",10
"21",42,"(1) Male","(2) No",NA,NA,NA,11,"Never",5
"22",57,"(2) Female","(2) No",NA,NA,NA,NA,"Once or a few times",5
"23",53,"(1) Male","(2) No",NA,NA,NA,5,"Never",7
"24",49,"(1) Male","(2) No",NA,NA,NA,10,"Most or all of the time",8
"25",59,"(2) Female","(2) No",NA,NA,NA,9,NA,9
"26",43,"(2) Female","(2) No",NA,NA,NA,7,"Never",8
"27",45,"(2) Female","(2) No",NA,NA,NA,9,NA,7
"28",44,"(2) Female","(2) No",NA,NA,NA,5,"Never",7
"29",42,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"30",74,"(2) Female","(2) No",NA,NA,NA,NA,"Once or a few times",8
"31",58,"(1) Male","(2) No",NA,NA,NA,9,"Once or a few times",9
"32",81,"(1) Male","(2) No",NA,NA,NA,4,"Never",8
"33",69,"(2) Female","(2) No",NA,NA,NA,NA,"Once or a few times",7
"34",48,"(2) Female","(2) No",NA,NA,NA,9,"Once or a few times",8
"35",63,"(2) Female","(2) No",NA,NA,NA,8,"Never",10
"36",57,"(2) Female","(2) No",NA,NA,NA,13,"Never",6
"37",62,"(1) Male","(2) No",NA,NA,NA,10,"Never",8
"38",54,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"39",82,"(2) Female","(2) No",NA,NA,NA,NA,NA,8
"40",78,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"41",48,"(2) Female","(2) No",NA,NA,NA,10,"Once or a few times",8
"42",43,"(1) Male","(2) No",NA,NA,NA,8,"Never",9
"43",44,"(2) Female","(2) No",NA,NA,NA,8,"Never",9
"44",79,"(1) Male","(2) No",NA,NA,NA,6,"Never",8
"45",62,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"46",57,"(2) Female","(2) No",NA,NA,NA,11,"Once or a few times",9
"47",39,"(2) Female","(1) Yes","(13) Other (specify)",4,4,11,"Never",8
"48",67,"(1) Male","(2) No",NA,NA,NA,NA,"Never",8
"49",61,"(2) Female","(2) No",NA,NA,NA,6,NA,8
"50",34,"(1) Male","(1) Yes","(06) Mother",52,8,NA,"Once or a few times",8
"51",48,"(1) Male","(2) No",NA,NA,NA,8,NA,7
"52",42,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"53",68,"(2) Female","(2) No",NA,NA,NA,NA,NA,9
"54",54,"(2) Female","(2) No",NA,NA,NA,7,"Never",8
"55",57,"(2) Female","(2) No",NA,NA,NA,6,NA,8
"56",58,"(1) Male","(2) No",NA,NA,NA,NA,"Never",9
"57",45,"(2) Female","(2) No",NA,NA,NA,7,"Never",9
"58",71,"(2) Female","(2) No",NA,NA,NA,NA,"Never",9
"59",41,"(1) Male","(2) No",NA,NA,NA,11,"Once or a few times",8
"60",42,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"61",57,"(2) Female","(2) No",NA,NA,NA,7,"Never",9
"62",71,"(1) Male","(2) No",NA,NA,NA,NA,"Once or a few times",10
"63",54,"(1) Male","(2) No",NA,NA,NA,8,"Never",8
"64",50,"(2) Female","(2) No",NA,NA,NA,8,"Once or a few times",7
"65",46,"(1) Male","(2) No",NA,NA,NA,6,NA,6
"66",47,"(2) Female","(2) No",NA,NA,NA,NA,"Once or a few times",5
"67",51,"(2) Female","(2) No",NA,NA,NA,11,"Never",8
"68",47,"(1) Male","(2) No",NA,NA,NA,5,"Never",8
"69",71,"(1) Male","(2) No",NA,NA,NA,NA,"Once or a few times",9
"70",64,"(2) Female","(2) No",NA,NA,NA,NA,"Never",9
"71",57,"(1) Male","(2) No",NA,NA,NA,8,"Never",8
"72",56,"(1) Male","(1) Yes","(02) Wife",7,10,7,"Never",8
"73",54,"(1) Male","(2) No",NA,NA,NA,8,"Never",10
"74",57,"(1) Male","(1) Yes","(13) Other (specify)",30,4,4,"Once or a few times",9
"75",60,"(1) Male","(2) No",NA,NA,NA,11,"Never",9
"76",68,"(2) Female","(2) No",NA,NA,NA,8,"Most or all of the time",10
"77",50,"(2) Female","(2) No",NA,NA,NA,9,"Once or a few times",8
"78",46,"(2) Female","(2) No",NA,NA,NA,NA,"Never",9
"79",72,"(2) Female","(2) No",NA,NA,NA,NA,NA,10
"80",47,"(1) Male","(2) No",NA,NA,NA,10,"Once or a few times",8
"81",63,"(2) Female","(2) No",NA,NA,NA,NA,"Never",7
"82",46,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"83",65,"(2) Female","(1) Yes","(05) Father",NA,96,NA,NA,NA
"84",46,"(1) Male","(2) No",NA,NA,NA,NA,"Never",8
"85",60,"(1) Male","(2) No",NA,NA,NA,NA,"Never",8
"86",75,"(1) Male","(2) No",NA,NA,NA,NA,NA,9
"87",73,"(2) Female","(2) No",NA,NA,NA,NA,"Never",8
"88",77,"(2) Female","(2) No",NA,NA,NA,4,NA,7
"89",75,"(1) Male","(2) No",NA,NA,NA,NA,"Never",10
"90",41,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"91",50,"(1) Male","(1) Yes","(07) Brother",8,7,10,"Once or a few times",8
"92",67,"(2) Female","(2) No",NA,NA,NA,NA,NA,8
"93",58,"(1) Male","(2) No",NA,NA,NA,4,"Once or a few times",10
"94",69,"(1) Male","(2) No",NA,NA,NA,NA,"Once or a few times",6
"95",56,"(1) Male","(2) No",NA,NA,NA,8,"Never",7
"96",55,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"97",39,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"98",52,"(2) Female","(1) Yes","(01) Husband",52,10,8,"Most or all of the time",7
"99",72,"(2) Female","(2) No",NA,NA,NA,7,"Never",7
"100",43,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"101",61,"(1) Male","(2) No",NA,NA,NA,4,"Never",9
"102",65,"(2) Female","(2) No",NA,NA,NA,6,NA,8
"103",78,"(1) Male","(2) No",NA,NA,NA,NA,"Never",10
"104",53,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"105",64,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"106",65,"(1) Male","(2) No",NA,NA,NA,6,"Never",10
"107",78,"(1) Male","(2) No",NA,NA,NA,NA,"Never",8
"108",65,"(2) Female","(2) No",NA,NA,NA,9,"Never",9
"109",71,"(1) Male","(2) No",NA,NA,NA,NA,"Once or a few times",NA
"110",44,"(2) Female","(2) No",NA,NA,NA,NA,"Once or a few times",7
"111",70,"(1) Male","(2) No",NA,NA,NA,4,"Never",7
"112",40,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"113",54,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"114",50,"(2) Female","(2) No",NA,NA,NA,8,"Once or a few times",6
"115",51,"(2) Female","(1) Yes","(10) Grandmother",52,18,NA,NA,NA
"116",54,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"117",55,"(2) Female","(2) No",NA,NA,NA,9,NA,7
"118",50,"(2) Female","(1) Yes","(13) Other (specify)",52,NA,NA,NA,NA
"119",46,"(2) Female","(1) Yes","(06) Mother",12,24,12,NA,7
"120",71,"(2) Female","(2) No",NA,NA,NA,NA,"Never",7
"121",54,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"122",63,"(2) Female","(2) No",NA,NA,NA,9,"Never",8
"123",60,"(2) Female","(2) No",NA,NA,NA,6,"Once or a few times",9
"124",56,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"125",43,"(2) Female","(2) No",NA,NA,NA,7,"Never",7
"126",47,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"127",55,"(2) Female","(2) No",NA,NA,NA,8,"Once or a few times",7
"128",55,"(2) Female","(2) No",NA,NA,NA,7,"Never",9
"129",40,"(1) Male","(2) No",NA,NA,NA,10,"Never",9
"130",65,"(2) Female","(2) No",NA,NA,NA,NA,"Never",9
"131",63,"(1) Male","(2) No",NA,NA,NA,NA,NA,10
"132",44,"(2) Female","(2) No",NA,NA,NA,8,"Never",7
"133",63,"(1) Male","(2) No",NA,NA,NA,NA,"Once or a few times",7
"134",66,"(2) Female","(2) No",NA,NA,NA,7,"Never",10
"135",74,"(1) Male","(2) No",NA,NA,NA,NA,"Never",7
"136",65,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"137",36,"(2) Female","(2) No",NA,NA,NA,NA,"Once or a few times",9
"138",54,"(1) Male","(2) No",NA,NA,NA,8,"Never",7
"139",79,"(2) Female","(2) No",NA,NA,NA,NA,NA,9
"140",52,"(1) Male","(2) No",NA,NA,NA,9,NA,8
"141",36,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"142",69,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"143",42,"(2) Female","(2) No",NA,NA,NA,4,"Never",9
"144",48,"(2) Female","(2) No",NA,NA,NA,NA,"Never",8
"145",58,"(1) Male","(2) No",NA,NA,NA,9,NA,2
"146",66,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"147",74,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"148",53,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"149",62,"(2) Female","(2) No",NA,NA,NA,8,"Never",9
"150",36,"(2) Female","(2) No",NA,NA,NA,8,"Once or a few times",8
"151",34,"(2) Female","(2) No",NA,NA,NA,9,"Once or a few times",7
"152",65,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"153",41,"(2) Female","(2) No",NA,NA,NA,6,"Never",10
"154",62,"(2) Female","(2) No",NA,NA,NA,4,"Never",9
"155",44,"(2) Female","(2) No",NA,NA,NA,NA,"Never",9
"156",69,"(2) Female","(2) No",NA,NA,NA,NA,NA,8
"157",65,"(2) Female","(2) No",NA,NA,NA,5,"Never",8
"158",55,"(1) Male","(2) No",NA,NA,NA,NA,"Once or a few times",4
"159",50,"(2) Female","(1) Yes","(13) Other (specify)",4,40,7,"Once or a few times",8
"160",57,"(1) Male","(2) No",NA,NA,NA,6,"Never",7
"161",47,"(1) Male","(2) No",NA,NA,NA,8,"Never",8
"162",46,"(2) Female","(2) No",NA,NA,NA,12,NA,7
"163",41,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"164",78,"(1) Male","(1) Yes","(02) Wife",52,NA,NA,NA,8
"165",36,"(2) Female","(2) No",NA,NA,NA,11,"Once or a few times",8
"166",72,"(2) Female","(2) No",NA,NA,NA,8,"Never",9
"167",41,"(2) Female","(2) No",NA,NA,NA,10,"Once or a few times",7
"168",33,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"169",45,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"170",61,"(1) Male","(2) No",NA,NA,NA,10,"Once or a few times",7
"171",61,"(2) Female","(2) No",NA,NA,NA,6,NA,8
"172",50,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"173",51,"(2) Female","(2) No",NA,NA,NA,9,NA,5
"174",56,"(2) Female","(2) No",NA,NA,NA,5,"Once or a few times",7
"175",82,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"176",59,"(2) Female","(2) No",NA,NA,NA,9,"Once or a few times",7
"177",82,"(2) Female","(2) No",NA,NA,NA,NA,"Once or a few times",6
"178",56,"(2) Female","(2) No",NA,NA,NA,NA,"Never",10
"179",60,"(2) Female","(1) Yes","(06) Mother",52,96,NA,NA,7
"180",43,"(2) Female","(2) No",NA,NA,NA,6,"Once or a few times",10
"181",39,"(2) Female","(2) No",NA,NA,NA,12,"Never",10
"182",67,"(2) Female","(2) No",NA,NA,NA,5,NA,7
"183",56,"(2) Female","(2) No",NA,NA,NA,12,NA,1
"184",38,"(2) Female","(2) No",NA,NA,NA,12,"Never",7
"185",40,"(1) Male","(2) No",NA,NA,NA,12,NA,6
"186",51,"(2) Female","(2) No",NA,NA,NA,NA,"Never",8
"187",66,"(1) Male","(2) No",NA,NA,NA,NA,"Never",9
"188",49,"(1) Male","(2) No",NA,NA,NA,9,"Most or all of the time",8
"189",48,"(1) Male","(2) No",NA,NA,NA,10,"Once or a few times",8
"190",44,"(2) Female","(2) No",NA,NA,NA,4,"Once or a few times",9
"191",55,"(1) Male","(2) No",NA,NA,NA,8,"Once or a few times",8
"192",51,"(2) Female","(1) Yes","(06) Mother",26,72,12,NA,7
"193",45,"(2) Female","(1) Yes","(06) Mother",8,15,10,"Once or a few times",8
"194",60,"(2) Female","(2) No",NA,NA,NA,8,"Never",9
"195",61,"(1) Male","(2) No",NA,NA,NA,8,"Never",9
"196",66,"(2) Female","(2) No",NA,NA,NA,10,NA,6
"197",34,"(2) Female","(1) Yes","(11) Father-in-law",50,NA,4,"Never",9
"198",49,"(2) Female","(2) No",NA,NA,NA,10,"Never",9
"199",65,"(2) Female","(1) Yes","(06) Mother",52,35,12,"Once or a few times",6
"200",71,"(1) Male","(2) No",NA,NA,NA,NA,"Never",7
"201",57,"(2) Female","(2) No",NA,NA,NA,8,"Once or a few times",9
"202",69,"(1) Male","(2) No",NA,NA,NA,9,"Never",9
"203",64,"(2) Female","(2) No",NA,NA,NA,NA,"Never",10
"204",64,"(2) Female","(2) No",NA,NA,NA,NA,"Never",8
"205",53,"(2) Female","(2) No",NA,NA,NA,10,"Never",8
