"","CONDITION","Intellect_Rating","Impression_Rating","Hire_Rating","Interview_Rating"
"1","Recorded",6,7,6,6.33333333333333
"2","Recorded",5.66666666666667,4.66666666666667,4,4.77777777777778
"3","Recorded",6,8.33333333333333,5,6.44444444444444
"4","Written",3.33333333333333,4.66666666666667,4,4
"5","Written",1,1.33333333333333,1,1.11111111111111
"6","Written",2,2,1,1.66666666666667
"7","Recorded",3.66666666666667,2.66666666666667,1,2.44444444444445
"8","Written",1.66666666666667,1.66666666666667,2,1.77777777777778
"9","Recorded",5,4.33333333333333,3,4.11111111111111
"10","Written",3.66666666666667,2.66666666666667,2,2.77777777777778
"11","Written",5.66666666666667,7.33333333333333,4,5.66666666666667
"12","Recorded",9,8.66666666666667,8,8.55555555555556
"13","Recorded",6,5.66666666666667,4,5.22222222222222
"14","Written",3.66666666666667,4.33333333333333,2,3.33333333333333
"15","Written",0.666666666666667,0.333333333333333,0,0.333333333333333
"16","Recorded",9,6.66666666666667,7,7.55555555555556
"17","Recorded",2.33333333333333,2.33333333333333,1,1.88888888888889
"18","Recorded",4.66666666666667,3,3,3.55555555555556
"19","Written",4.66666666666667,4,3,3.88888888888889
"20","Written",3.66666666666667,4.66666666666667,3,3.77777777777778
"21","Written",7,7.33333333333333,7,7.11111111111111
"22","Written",1.66666666666667,0.666666666666667,2,1.44444444444445
"23","Written",6.33333333333333,7,5,6.11111111111111
"24","Recorded",5.66666666666667,6.66666666666667,0,4.11111111111111
"25","Recorded",7.66666666666667,6.66666666666667,7,7.11111111111111
"26","Recorded",6.66666666666667,7.66666666666667,5,6.44444444444445
"27","Written",3.66666666666667,5.33333333333333,1,3.33333333333333
"28","Recorded",4.66666666666667,6,4,4.88888888888889
"29","Recorded",5.66666666666667,7.33333333333333,7,6.66666666666667
"30","Recorded",3.33333333333333,4,4,3.77777777777778
"31","Written",3.33333333333333,5.33333333333333,2,3.55555555555555
"32","Written",2.33333333333333,3.33333333333333,1,2.22222222222222
"33","Recorded",6,4.66666666666667,5,5.22222222222222
"34","Recorded",5,7.33333333333333,8,6.77777777777778
"35","Written",4.66666666666667,6,5,5.22222222222222
"36","Recorded",6,7.66666666666667,7,6.88888888888889
"37","Written",6.66666666666667,5.33333333333333,7,6.33333333333333
"38","Recorded",5,8.33333333333333,5,6.11111111111111
"39","Recorded",5.33333333333333,5.66666666666667,5,5.33333333333333
