"","Condition","Type","Rating"
"1","Recorded","Intellect_Rating",6
"2","Recorded","Impression_Rating",7
"3","Recorded","Hire_Rating",6
"4","Recorded","Intellect_Rating",5.66666666666667
"5","Recorded","Impression_Rating",4.66666666666667
"6","Recorded","Hire_Rating",4
"7","Recorded","Intellect_Rating",6
"8","Recorded","Impression_Rating",8.33333333333333
"9","Recorded","Hire_Rating",5
"10","Written","Intellect_Rating",3.33333333333333
"11","Written","Impression_Rating",4.66666666666667
"12","Written","Hire_Rating",4
"13","Written","Intellect_Rating",1
"14","Written","Impression_Rating",1.33333333333333
"15","Written","Hire_Rating",1
"16","Written","Intellect_Rating",2
"17","Written","Impression_Rating",2
"18","Written","Hire_Rating",1
"19","Recorded","Intellect_Rating",3.66666666666667
"20","Recorded","Impression_Rating",2.66666666666667
"21","Recorded","Hire_Rating",1
"22","Written","Intellect_Rating",1.66666666666667
"23","Written","Impression_Rating",1.66666666666667
"24","Written","Hire_Rating",2
"25","Recorded","Intellect_Rating",5
"26","Recorded","Impression_Rating",4.33333333333333
"27","Recorded","Hire_Rating",3
"28","Written","Intellect_Rating",3.66666666666667
"29","Written","Impression_Rating",2.66666666666667
"30","Written","Hire_Rating",2
"31","Written","Intellect_Rating",5.66666666666667
"32","Written","Impression_Rating",7.33333333333333
"33","Written","Hire_Rating",4
"34","Recorded","Intellect_Rating",9
"35","Recorded","Impression_Rating",8.66666666666667
"36","Recorded","Hire_Rating",8
"37","Recorded","Intellect_Rating",6
"38","Recorded","Impression_Rating",5.66666666666667
"39","Recorded","Hire_Rating",4
"40","Written","Intellect_Rating",3.66666666666667
"41","Written","Impression_Rating",4.33333333333333
"42","Written","Hire_Rating",2
"43","Written","Intellect_Rating",0.666666666666667
"44","Written","Impression_Rating",0.333333333333333
"45","Written","Hire_Rating",0
"46","Recorded","Intellect_Rating",9
"47","Recorded","Impression_Rating",6.66666666666667
"48","Recorded","Hire_Rating",7
"49","Recorded","Intellect_Rating",2.33333333333333
"50","Recorded","Impression_Rating",2.33333333333333
"51","Recorded","Hire_Rating",1
"52","Recorded","Intellect_Rating",4.66666666666667
"53","Recorded","Impression_Rating",3
"54","Recorded","Hire_Rating",3
"55","Written","Intellect_Rating",4.66666666666667
"56","Written","Impression_Rating",4
"57","Written","Hire_Rating",3
"58","Written","Intellect_Rating",3.66666666666667
"59","Written","Impression_Rating",4.66666666666667
"60","Written","Hire_Rating",3
"61","Written","Intellect_Rating",7
"62","Written","Impression_Rating",7.33333333333333
"63","Written","Hire_Rating",7
"64","Written","Intellect_Rating",1.66666666666667
"65","Written","Impression_Rating",0.666666666666667
"66","Written","Hire_Rating",2
"67","Written","Intellect_Rating",6.33333333333333
"68","Written","Impression_Rating",7
"69","Written","Hire_Rating",5
"70","Recorded","Intellect_Rating",5.66666666666667
"71","Recorded","Impression_Rating",6.66666666666667
"72","Recorded","Hire_Rating",0
"73","Recorded","Intellect_Rating",7.66666666666667
"74","Recorded","Impression_Rating",6.66666666666667
"75","Recorded","Hire_Rating",7
"76","Recorded","Intellect_Rating",6.66666666666667
"77","Recorded","Impression_Rating",7.66666666666667
"78","Recorded","Hire_Rating",5
"79","Written","Intellect_Rating",3.66666666666667
"80","Written","Impression_Rating",5.33333333333333
"81","Written","Hire_Rating",1
"82","Recorded","Intellect_Rating",4.66666666666667
"83","Recorded","Impression_Rating",6
"84","Recorded","Hire_Rating",4
"85","Recorded","Intellect_Rating",5.66666666666667
"86","Recorded","Impression_Rating",7.33333333333333
"87","Recorded","Hire_Rating",7
"88","Recorded","Intellect_Rating",3.33333333333333
"89","Recorded","Impression_Rating",4
"90","Recorded","Hire_Rating",4
"91","Written","Intellect_Rating",3.33333333333333
"92","Written","Impression_Rating",5.33333333333333
"93","Written","Hire_Rating",2
"94","Written","Intellect_Rating",2.33333333333333
"95","Written","Impression_Rating",3.33333333333333
"96","Written","Hire_Rating",1
"97","Recorded","Intellect_Rating",6
"98","Recorded","Impression_Rating",4.66666666666667
"99","Recorded","Hire_Rating",5
"100","Recorded","Intellect_Rating",5
"101","Recorded","Impression_Rating",7.33333333333333
"102","Recorded","Hire_Rating",8
"103","Written","Intellect_Rating",4.66666666666667
"104","Written","Impression_Rating",6
"105","Written","Hire_Rating",5
"106","Recorded","Intellect_Rating",6
"107","Recorded","Impression_Rating",7.66666666666667
"108","Recorded","Hire_Rating",7
"109","Written","Intellect_Rating",6.66666666666667
"110","Written","Impression_Rating",5.33333333333333
"111","Written","Hire_Rating",7
"112","Recorded","Intellect_Rating",5
"113","Recorded","Impression_Rating",8.33333333333333
"114","Recorded","Hire_Rating",5
"115","Recorded","Intellect_Rating",5.33333333333333
"116","Recorded","Impression_Rating",5.66666666666667
"117","Recorded","Hire_Rating",5
