"","Condition","Score"
"1","Mild",11.5300549905295
"2","Moderate",8.55926019399364
"3","None",21.6993313088638
"4","Severe",13.1854146337125
"5","Mild",10.6288350271413
"6","Moderate",11.8715967933194
"7","None",25.9275395262977
"8","Severe",12.3145147176216
"9","Mild",9.8137625567335
"10","Moderate",8.43298897546476
"11","None",18.7130704363294
"12","Severe",13.9430117560303
"13","Mild",11.5175154662726
"14","Moderate",8.84455225754106
"15","None",33.3348403509383
"16","Severe",14.5412428213551
"17","Mild",18.1784206159321
"18","Moderate",9.20701581172716
"19","None",33.1797156407418
"20","Severe",11.7456429209443
