"","Position","Color","Time"
"1","congruent","stand",892.1428571
"2","incongruent","stand",1016.5
"3","congruent","sit",1031.96
"4","incongruent","sit",1090.777778
"5","congruent","stand",701.6111111
"6","incongruent","stand",815.0857143
"7","congruent","sit",610.4722222
"8","incongruent","sit",662.1944444
"9","congruent","stand",1009.741935
"10","incongruent","stand",1050.133333
"11","congruent","sit",949.8787879
"12","incongruent","sit",1105.454545
"13","congruent","stand",734.6285714
"14","incongruent","stand",819.4
"15","congruent","sit",636.3333333
"16","incongruent","sit",866.5714286
"17","congruent","stand",904.8529412
"18","incongruent","stand",1016.115385
"19","congruent","sit",902.7272727
"20","incongruent","sit",1024.090909
"21","congruent","stand",955.9117647
"22","incongruent","stand",954.2727273
"23","congruent","sit",839.3611111
"24","incongruent","sit",914.28125
"25","congruent","stand",879.21875
"26","incongruent","stand",981.0285714
"27","congruent","sit",945.0571429
"28","incongruent","sit",1087.147059
"29","congruent","stand",872.3529412
"30","incongruent","stand",925.7666667
"31","congruent","sit",883.5142857
"32","incongruent","sit",926.7741935
"33","congruent","stand",876.3125
"34","incongruent","stand",1033.088235
"35","congruent","sit",1062.24
"36","incongruent","sit",1213.285714
"37","congruent","stand",797.3333333
"38","incongruent","stand",932.8571429
"39","congruent","sit",771.5833333
"40","incongruent","sit",958.75
"41","congruent","stand",732.4117647
"42","incongruent","stand",840.3611111
"43","congruent","sit",754.2941176
"44","incongruent","sit",872.1428571
"45","congruent","stand",929.1515152
"46","incongruent","stand",1007.212121
"47","congruent","sit",905.8571429
"48","incongruent","sit",1032.575758
"49","congruent","stand",739.15625
"50","incongruent","stand",914.7272727
"51","congruent","sit",771.2352941
"52","incongruent","sit",875.6875
"53","congruent","stand",1112.088235
"54","incongruent","stand",1178.730769
"55","congruent","sit",1031.363636
"56","incongruent","sit",1103.8125
"57","congruent","stand",596.5757576
"58","incongruent","stand",707.6666667
"59","congruent","sit",660.1764706
"60","incongruent","sit",723.5428571
"61","congruent","stand",753.7714286
"62","incongruent","stand",851.6969697
"63","congruent","sit",777.6764706
"64","incongruent","sit",884
"65","congruent","stand",829.6857143
"66","incongruent","stand",968.8857143
"67","congruent","sit",949.8076923
"68","incongruent","sit",1172.586207
"69","congruent","stand",923.25
"70","incongruent","stand",998.4242424
"71","congruent","sit",912
"72","incongruent","sit",1008.333333
"73","congruent","stand",897.7575758
"74","incongruent","stand",947.6470588
"75","congruent","sit",983.6129032
"76","incongruent","sit",1005.913043
"77","congruent","stand",755.9142857
"78","incongruent","stand",878.25
"79","congruent","sit",755.7428571
"80","incongruent","sit",812.9722222
"81","congruent","stand",666.2285714
"82","incongruent","stand",787.9117647
"83","congruent","sit",759
"84","incongruent","sit",890.65625
"85","congruent","stand",714.6285714
"86","incongruent","stand",829.5
"87","congruent","sit",727.6111111
"88","incongruent","sit",918.8611111
"89","congruent","stand",603.8571429
"90","incongruent","stand",682.1470588
"91","congruent","sit",634.4242424
"92","incongruent","sit",679.1818182
"93","congruent","stand",1042.225806
"94","incongruent","stand",1099.666667
"95","congruent","sit",1011.59375
"96","incongruent","sit",1086.580645
"97","congruent","stand",793.3823529
"98","incongruent","stand",871.53125
"99","congruent","sit",864.5277778
"100","incongruent","sit",959.09375
"101","congruent","stand",784.0555556
"102","incongruent","stand",920.8333333
"103","congruent","sit",720.2777778
"104","incongruent","sit",880.6944444
"105","congruent","stand",724.6666667
"106","incongruent","stand",862.8611111
"107","congruent","sit",724.6111111
"108","incongruent","sit",869.7428571
"109","congruent","stand",811.1176471
"110","incongruent","stand",929.625
"111","congruent","sit",734.969697
"112","incongruent","sit",910.4
"113","congruent","stand",768.0857143
"114","incongruent","stand",841.8
"115","congruent","sit",779.6857143
"116","incongruent","sit",890.5714286
"117","congruent","stand",900.4666667
"118","incongruent","stand",1109.818182
"119","congruent","sit",843.7241379
"120","incongruent","sit",1040.1
"121","congruent","stand",688.2222222
"122","incongruent","stand",784.3714286
"123","congruent","sit",751.6
"124","incongruent","sit",851.0857143
"125","congruent","stand",835.8
"126","incongruent","stand",878
"127","congruent","sit",905.6363636
"128","incongruent","sit",994.6176471
"129","congruent","stand",751.7
"130","incongruent","stand",826.4
"131","congruent","sit",871.9130435
"132","incongruent","sit",945.2380952
